iter	Passed	Remaining
0	50	49965
1	53	26593
2	56	18763
3	60	14944
4	63	12644
5	66	11003
6	69	9823
7	73	9126
8	76	8465
9	81	8063
10	85	7643
11	87	7222
12	91	6976
13	95	6744
14	98	6454
15	100	6181
16	102	5906
17	106	5803
18	108	5611
19	111	5460
20	114	5338
21	119	5309
22	122	5217
23	126	5150
24	130	5089
25	133	5002
26	135	4893
27	139	4835
28	141	4736
29	143	4635
30	144	4527
31	147	4471
32	150	4419
33	154	4397
34	158	4378
35	161	4331
36	164	4274
37	166	4227
38	169	4176
39	172	4130
40	174	4079
41	176	4017
42	178	3963
43	179	3908
44	181	3854
45	182	3793
46	184	3743
47	185	3678
48	186	3627
49	188	3573
50	189	3525
51	191	3483
52	192	3439
53	193	3387
54	194	3345
55	195	3301
56	196	3256
57	198	3220
58	199	3177
59	200	3144
60	202	3110
61	203	3077
62	204	3044
63	206	3015
64	207	2985
65	208	2957
66	210	2930
67	211	2904
68	213	2875
69	214	2847
70	215	2822
71	216	2790
72	217	2766
73	219	2743
74	220	2721
75	222	2700
76	223	2680
77	225	2659
78	226	2639
79	227	2619
80	229	2600
81	230	2580
82	231	2563
83	233	2545
84	234	2528
85	236	2511
86	237	2495
87	238	2476
88	239	2456
89	241	2441
90	242	2427
91	244	2413
92	246	2399
93	247	2384
94	248	2370
95	250	2357
96	251	2344
97	253	2330
98	254	2317
99	255	2300
100	256	2287
101	258	2272
102	259	2261
103	261	2249
104	262	2237
105	263	2225
106	264	2211
107	266	2200
108	267	2189
109	269	2179
110	270	2168
111	272	2157
112	273	2147
113	274	2136
114	276	2126
115	277	2115
116	278	2103
117	280	2093
118	281	2082
119	282	2071
120	283	2063
121	284	2051
122	286	2041
123	287	2033
124	289	2024
125	290	2015
126	292	2007
127	293	1998
128	294	1988
129	295	1980
130	297	1972
131	298	1965
132	300	1957
133	301	1949
134	303	1942
135	304	1933
136	305	1926
137	307	1918
138	308	1910
139	309	1902
140	311	1894
141	312	1885
142	313	1879
143	314	1870
144	316	1863
145	317	1857
146	318	1849
147	320	1842
148	321	1837
149	323	1831
150	324	1825
151	325	1815
152	326	1808
153	328	1803
154	329	1797
155	331	1791
156	332	1784
157	333	1776
158	334	1768
159	335	1762
160	337	1756
161	338	1749
162	339	1744
163	341	1739
164	342	1730
165	343	1726
166	345	1721
167	346	1717
168	348	1712
169	349	1707
170	351	1702
171	352	1697
172	354	1693
173	355	1687
174	356	1682
175	358	1676
176	359	1670
177	360	1665
178	362	1661
179	363	1656
180	365	1651
181	366	1647
182	367	1640
183	368	1633
184	369	1628
185	371	1624
186	372	1619
187	373	1614
188	375	1609
189	376	1604
190	377	1600
191	379	1595
192	380	1589
193	381	1584
194	382	1578
195	383	1573
196	385	1569
197	386	1565
198	387	1561
199	389	1557
200	390	1553
201	392	1549
202	393	1545
203	394	1540
204	396	1536
205	397	1532
206	399	1528
207	400	1524
208	401	1520
209	403	1517
210	404	1513
211	406	1509
212	407	1505
213	408	1502
214	410	1498
215	411	1492
216	412	1488
217	414	1485
218	415	1480
219	416	1476
220	417	1473
221	419	1469
222	420	1466
223	422	1462
224	423	1458
225	424	1455
226	426	1451
227	427	1447
228	429	1444
229	430	1441
230	431	1437
231	433	1434
232	434	1431
233	436	1427
234	437	1424
235	438	1420
236	440	1416
237	441	1413
238	442	1409
239	443	1405
240	445	1402
241	447	1401
242	448	1396
243	449	1393
244	451	1390
245	452	1387
246	453	1383
247	455	1380
248	456	1376
249	457	1373
250	459	1370
251	460	1367
252	463	1368
253	465	1365
254	466	1362
255	467	1359
256	469	1357
257	470	1353
258	471	1349
259	473	1346
260	474	1343
261	475	1340
262	477	1337
263	478	1334
264	480	1331
265	481	1329
266	483	1326
267	484	1323
268	486	1320
269	486	1316
270	488	1313
271	489	1310
272	491	1307
273	492	1305
274	493	1302
275	494	1298
276	496	1295
277	497	1292
278	498	1289
279	500	1286
280	501	1284
281	503	1281
282	504	1278
283	506	1276
284	507	1273
285	509	1270
286	510	1268
287	512	1265
288	513	1263
289	514	1260
290	516	1257
291	517	1255
292	519	1252
293	520	1250
294	521	1247
295	523	1245
296	524	1242
297	526	1240
298	527	1237
299	529	1234
300	530	1232
301	532	1229
302	533	1227
303	534	1224
304	536	1222
305	537	1219
306	539	1217
307	540	1215
308	542	1212
309	543	1210
310	544	1207
311	546	1204
312	547	1202
313	549	1199
314	550	1197
315	552	1194
316	553	1192
317	554	1190
318	556	1187
319	557	1185
320	559	1182
321	560	1180
322	562	1177
323	563	1175
324	564	1173
325	566	1170
326	567	1168
327	569	1166
328	570	1163
329	572	1161
330	573	1159
331	574	1156
332	576	1154
333	577	1152
334	579	1149
335	580	1147
336	582	1145
337	583	1143
338	585	1140
339	586	1138
340	588	1136
341	589	1134
342	590	1131
343	592	1129
344	593	1127
345	595	1125
346	596	1122
347	598	1120
348	599	1118
349	601	1116
350	602	1114
351	603	1111
352	605	1109
353	606	1107
354	608	1105
355	609	1103
356	611	1100
357	612	1098
358	614	1096
359	615	1094
360	617	1092
361	618	1090
362	620	1088
363	621	1085
364	623	1083
365	624	1081
366	626	1079
367	627	1077
368	629	1075
369	630	1073
370	632	1071
371	633	1069
372	635	1068
373	636	1065
374	638	1063
375	639	1061
376	641	1059
377	642	1057
378	644	1055
379	645	1053
380	647	1051
381	648	1049
382	650	1047
383	651	1045
384	652	1043
385	654	1041
386	656	1039
387	657	1037
388	658	1035
389	660	1033
390	661	1030
391	663	1029
392	665	1027
393	666	1025
394	667	1023
395	669	1021
396	670	1019
397	672	1017
398	673	1015
399	675	1012
400	676	1010
401	678	1008
402	679	1006
403	681	1004
404	682	1002
405	684	1001
406	685	999
407	687	997
408	688	994
409	689	992
410	691	990
411	692	988
412	694	986
413	695	984
