transaction_id,account_age,transaction_amount,transaction_type,location,is_fraud
TX0,111.0,118.08740081556641,transferência,online,0
TX1,144.0,89.68111682651225,transferência,fisico,0
TX2,125.0,14.275808404037814,compra,fisico,0
TX3,173.0,,transferência,online,1
TX4,16.0,462.077118585934,transferência,fisico,0
TX5,123.0,135.56447595204884,compra,online,0
TX6,30.0,122.38488239501153,transferência,online,1
TX7,232.0,46.58631568965714,saque,fisico,1
TX8,167.0,,transferência,fisico,1
TX9,191.0,115.34611348743513,saque,fisico,0
TX10,49.0,384.89839124364283,compra,fisico,1
TX11,79.0,402.88019450728257,transferência,fisico,0
TX12,198.0,19.129683842612994,compra,fisico,0
TX13,228.0,34.96549140640323,transferência,fisico,0
TX14,54.0,65.90986963966526,compra,fisico,0
TX15,68.0,51.866659699165766,saque,fisico,0
TX16,5.0,121.91464800898197,transferência,fisico,0
TX17,173.0,214.71530716879755,transferência,fisico,1
TX18,239.0,282.02652049347023,transferência,online,0
TX19,197.0,499.4150389204279,transferência,online,0
TX20,119.0,566.84592204496,compra,online,0
TX21,180.0,190.43055664109735,saque,online,1
TX22,132.0,79.44965339655342,compra,online,0
TX23,50.0,,compra,online,1
TX24,126.0,60.088445458072314,compra,online,1
TX25,22.0,436.28214934151765,transferência,fisico,1
TX26,143.0,81.28082790511542,saque,fisico,1
TX27,190.0,245.07343624687215,compra,fisico,1
TX28,,194.20390762391773,compra,online,1
TX29,36.0,27.17472343845128,transferência,online,0
TX30,93.0,210.69174317454963,saque,fisico,0
TX31,82.0,506.9057381650964,transferência,fisico,1
TX32,222.0,,saque,fisico,1
TX33,15.0,136.4753400205523,saque,online,1
TX34,97.0,10.178164963895412,compra,fisico,1
TX35,211.0,155.7852100697786,transferência,fisico,0
TX36,102.0,492.3393969226947,saque,online,0
TX37,43.0,,transferência,fisico,1
TX38,182.0,192.23555403607298,transferência,fisico,0
TX39,89.0,133.8955931468263,saque,online,1
TX40,93.0,356.99791680560907,compra,online,1
TX41,116.0,308.0193580938645,saque,online,1
TX42,,155.59505415243947,saque,fisico,0
TX43,21.0,383.0948074161706,transferência,online,0
TX44,100.0,160.64285213281536,transferência,online,0
TX45,172.0,170.4602071337114,compra,fisico,0
TX46,228.0,189.77412197483306,compra,online,0
TX47,218.0,2.037063349568936,compra,online,1
TX48,103.0,45.2917808938237,saque,online,0
TX49,219.0,335.15770318180574,transferência,online,0
TX50,108.0,35.85174594227771,saque,online,0
TX51,15.0,401.31455042337507,transferência,online,0
TX52,94.0,236.86652506493374,compra,fisico,1
TX53,,161.67482694307606,transferência,fisico,1
TX54,213.0,2.823587168501184,saque,fisico,1
TX55,50.0,148.96166913105398,compra,fisico,0
TX56,164.0,293.4155874267996,transferência,online,0
TX57,41.0,24.555320803873247,transferência,fisico,0
TX58,51.0,39.39253263902647,compra,fisico,1
TX59,1.0,105.64380761451977,compra,fisico,0
TX60,82.0,23.447754395115837,saque,fisico,0
TX61,187.0,120.22131179082756,compra,fisico,0
TX62,32.0,,saque,fisico,0
TX63,210.0,223.23174561060083,saque,online,1
TX64,,170.54779382633888,compra,fisico,0
TX65,190.0,65.32481962918824,saque,fisico,0
TX66,214.0,,compra,fisico,0
TX67,174.0,,compra,fisico,0
TX68,96.0,67.57178834291277,saque,online,0
TX69,179.0,590.5603904472592,saque,fisico,1
TX70,82.0,387.4239205790507,compra,online,1
TX71,1.0,816.143178674748,transferência,online,1
TX72,,252.8852735685374,saque,online,0
TX73,53.0,164.74082761160216,saque,fisico,0
TX74,110.0,111.65388663513376,saque,online,0
